caso,t,sigma,criterio,ciclo,r_k,r_prev,q_k
cero γ≈1000,1001.3494,0.5,angular,161,0.035726,0.035608,1.003317
cero γ≈1000,1001.3494,0.5,angular,162,0.035820,0.035726,1.002630
cero γ≈1000,1001.3494,0.5,angular,163,0.035905,0.035820,1.002380
cero γ≈1000,1001.3494,0.5,angular,164,0.036028,0.035905,1.003429
cero γ≈1000,1001.3494,0.5,angular,165,0.036142,0.036028,1.003166
cero γ≈1000,1001.3494,0.5,angular,166,0.036196,0.036142,1.001495
cero γ≈1000,1001.3494,0.5,angular,167,0.036312,0.036196,1.003203
cero γ≈1000,1001.3494,0.5,angular,168,0.036419,0.036312,1.002953
cero γ≈1000,1001.3494,0.5,angular,169,0.036524,0.036419,1.002866
cerca del cero (+0,15),1001.4994,0.5,angular,1,0.074924,0.093889,0.798001
cerca del cero (+0,15),1001.4994,0.5,angular,2,0.065357,0.074924,0.872312
cerca del cero (+0,15),1001.4994,0.5,angular,3,0.058784,0.065357,0.899427
cerca del cero (+0,15),1001.4994,0.5,angular,4,0.053655,0.058784,0.912753
cerca del cero (+0,15),1001.4994,0.5,angular,5,0.050333,0.053655,0.938086
cerca del cero (+0,15),1001.4994,0.5,angular,6,0.047548,0.050333,0.944667
cerca del cero (+0,15),1001.4994,0.5,angular,7,0.045171,0.047548,0.950007
cerca del cero (+0,15),1001.4994,0.5,angular,8,0.043962,0.045171,0.973246
cerca del cero (+0,15),1001.4994,0.5,angular,9,0.041752,0.043962,0.949722
cerca del cero (+0,15),1001.4994,0.5,angular,10,0.040902,0.041752,0.979643
cerca del cero (+0,15),1001.4994,0.5,angular,11,0.039774,0.040902,0.972428
cerca del cero (+0,15),1001.4994,0.5,angular,12,0.038739,0.039774,0.973972
cerca del cero (+0,15),1001.4994,0.5,angular,13,0.037812,0.038739,0.976070
cerca del cero (+0,15),1001.4994,0.5,angular,14,0.036972,0.037812,0.977782
cerca del cero (+0,15),1001.4994,0.5,angular,15,0.036191,0.036972,0.978879
cerca del cero (+0,15),1001.4994,0.5,angular,16,0.035453,0.036191,0.979601
cerca del cero (+0,15),1001.4994,0.5,angular,17,0.034769,0.035453,0.980726
cerca del cero (+0,15),1001.4994,0.5,angular,18,0.035129,0.034769,1.010331
cerca del cero (+0,15),1001.4994,0.5,angular,19,0.033863,0.035129,0.963974
cerca del cero (+0,15),1001.4994,0.5,angular,20,0.033202,0.033863,0.980473
cerca del cero (+0,15),1001.4994,0.5,angular,21,0.033709,0.033202,1.015283
cerca del cero (+0,15),1001.4994,0.5,angular,22,0.032418,0.033709,0.961692
cerca del cero (+0,15),1001.4994,0.5,angular,23,0.032854,0.032418,1.013449
cerca del cero (+0,15),1001.4994,0.5,angular,24,0.031697,0.032854,0.964789
cerca del cero (+0,15),1001.4994,0.5,angular,25,0.032197,0.031697,1.015760
cerca del cero (+0,15),1001.4994,0.5,angular,26,0.030984,0.032197,0.962335
cerca del cero (+0,15),1001.4994,0.5,angular,27,0.031629,0.030984,1.020808
cerca del cero (+0,15),1001.4994,0.5,angular,28,0.031166,0.031629,0.985362
cerca del cero (+0,15),1001.4994,0.5,angular,29,0.030243,0.031166,0.970408
cerca del cero (+0,15),1001.4994,0.5,angular,30,0.030840,0.030243,1.019739
cerca del cero (+0,15),1001.4994,0.5,angular,31,0.030488,0.030840,0.988584
cerca del cero (+0,15),1001.4994,0.5,angular,32,0.029484,0.030488,0.967061
cerca del cero (+0,15),1001.4994,0.5,angular,33,0.030102,0.029484,1.020944
cerca del cero (+0,15),1001.4994,0.5,angular,34,0.029974,0.030102,0.995771
cerca del cero (+0,15),1001.4994,0.5,angular,35,0.029727,0.029974,0.991739
cerca del cero (+0,15),1001.4994,0.5,angular,36,0.029439,0.029727,0.990321
cerca del cero (+0,15),1001.4994,0.5,angular,37,0.028605,0.029439,0.971685
cerca del cero (+0,15),1001.4994,0.5,angular,38,0.029161,0.028605,1.019408
cerca del cero (+0,15),1001.4994,0.5,angular,39,0.029076,0.029161,0.997090
cerca del cero (+0,15),1001.4994,0.5,angular,40,0.028959,0.029076,0.996002
cerca del cero (+0,15),1001.4994,0.5,angular,41,0.026782,0.028959,0.924817
cerca del cero (+0,15),1001.4994,0.5,angular,42,0.027580,0.026782,1.029798
cerca del cero (+0,15),1001.4994,0.5,angular,43,0.027104,0.027580,0.982739
cerca del cero (+0,15),1001.4994,0.5,angular,44,0.027749,0.027104,1.023772
cerca del cero (+0,15),1001.4994,0.5,angular,45,0.027185,0.027749,0.979698
cerca del cero (+0,15),1001.4994,0.5,angular,46,0.027271,0.027185,1.003173
cerca del cero (+0,15),1001.4994,0.5,angular,47,0.027910,0.027271,1.023414
cerca del cero (+0,15),1001.4994,0.5,angular,48,0.027348,0.027910,0.979884
cerca del cero (+0,15),1001.4994,0.5,angular,49,0.027415,0.027348,1.002431
cerca del cero (+0,15),1001.4994,0.5,angular,50,0.027501,0.027415,1.003129
cerca del cero (+0,15),1001.4994,0.5,angular,51,0.028131,0.027501,1.022911
cerca del cero (+0,15),1001.4994,0.5,angular,52,0.027577,0.028131,0.980311
cerca del cero (+0,15),1001.4994,0.5,angular,53,0.027635,0.027577,1.002116
cerca del cero (+0,15),1001.4994,0.5,angular,54,0.027700,0.027635,1.002337
cerca del cero (+0,15),1001.4994,0.5,angular,55,0.027766,0.027700,1.002378
cerca del cero (+0,15),1001.4994,0.5,angular,56,0.027830,0.027766,1.002320
cerca del cero (+0,15),1001.4994,0.5,angular,57,0.027892,0.027830,1.002228
cerca del cero (+0,15),1001.4994,0.5,angular,58,0.027952,0.027892,1.002144
cerca del cero (+0,15),1001.4994,0.5,angular,59,0.028010,0.027952,1.002091
cerca del cero (+0,15),1001.4994,0.5,angular,60,0.028069,0.028010,1.002079
cerca del cero (+0,15),1001.4994,0.5,angular,61,0.028128,0.028069,1.002111
cerca del cero (+0,15),1001.4994,0.5,angular,62,0.028189,0.028128,1.002181
cerca del cero (+0,15),1001.4994,0.5,angular,63,0.028253,0.028189,1.002276
cerca del cero (+0,15),1001.4994,0.5,angular,64,0.028320,0.028253,1.002371
cerca del cero (+0,15),1001.4994,0.5,angular,65,0.028389,0.028320,1.002426
